Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-26209,13443850,HIVE CBO. Wrong results with Hive SQL query with MULTIPLE IN conditions in where clause if CBO enabled,,TORBACH,Critical,Resolved,Fixed,08/May/22 12:52,10/May/22 16:03,13/May/22 00:00
Bug,HIVE-23086,13294268,Two tests fail on branch-2.3,gates,gates,Major,Closed,Fixed,26/Mar/20 18:08,27/Feb/24 22:23,
Bug,HIVE-22967,13289261,Support hive.reloadable.aux.jars.path for Hive on Tez,touchida,touchida,Minor,Closed,Fixed,03/Mar/20 14:34,17/Nov/22 08:51,
Bug,HIVE-22963,13289102,HiveParser misinterpretes quotes in parameters of built-in functions or UDFs,ganeshas,ganeshas,Major,Resolved,Duplicate,03/Mar/20 04:21,30/Mar/20 02:26,
Bug,HIVE-22670,13276441,ArrayIndexOutOfBoundsException when vectorized reader is used for reading a parquet file,ganeshas,ganeshas,Major,Closed,Fixed,26/Dec/19 09:38,16/Nov/22 13:50,
Bug,HIVE-22601,13273389,Some columns will be lost when a UDTF has multiple aliases in some cases,okumin,okumin,Major,Resolved,Duplicate,09/Dec/19 14:00,23/May/23 12:18,
Bug,HIVE-22480,13267623,IndexOutOfBounds exception while reading ORC files written with empty positions list in first row index entry,jcamacho,jcamacho,Major,Resolved,Fixed,12/Nov/19 07:37,27/Feb/24 22:13,
Bug,HIVE-22453,13266170,Describe table unnecessarily fetches partitions,touchida,touchida,Minor,Closed,Fixed,04/Nov/19 19:08,02/Apr/23 19:48,
Bug,HIVE-22268,13259557,schematool references wrong scripts directory,,cjmoberg,Major,Resolved,Not A Problem,30/Sep/19 00:13,30/Sep/19 00:54,
Bug,HIVE-22190,13256048,Class HiveMetaStoreClient fails to instantiate when running on Java 11,frankgh,frankgh,Major,Closed,Duplicate,11/Sep/19 07:57,25/Jun/23 07:36,
