Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-25924,13426319,CLONE - CLONE - SchemaTool error: Unknown version specified for initialization: 3.1.0,waghmodesushant1994,aamirmohammad002,Critical,Resolved,Duplicate,03/Feb/22 04:26,22/Aug/23 08:53,
Bug,HIVE-25923,13426318,CLONE - SchemaTool error: Unknown version specified for initialization: 3.1.0,aamirmohammad002,aamirmohammad002,Critical,Resolved,Fixed,03/Feb/22 04:25,03/Feb/22 05:00,
Bug,HIVE-25730,13413073,Hive column update performance too low when table partition over 700,,srsok,Critical,Resolved,Duplicate,22/Nov/21 05:01,22/Nov/21 10:11,26/Nov/21 00:00
Bug,HIVE-25672,13410124,Hive isn't purging older compaction entries from show compaction command,,Rohannimmagadda,Minor,Resolved,Fixed,04/Nov/21 19:48,30/Aug/22 19:00,
Bug,HIVE-25662,13409149,"JDBC driver returns "" java.lang.IllegalArgumentException: Unrecognized type name: timestamp with local time zone('Europe/Madrid') in the table's introspection",,idominguez,Blocker,Resolved,Fixed,29/Oct/21 16:11,06/Dec/21 12:28,29/Oct/21 00:00
Bug,HIVE-25558,13403260,"create two tables and want to make some partitions on the table ,joins,union also ",,shivanagaraju,Minor,Resolved,Incomplete,25/Sep/21 14:01,28/Sep/21 08:35,28/Sep/21 00:00
Bug,HIVE-25443,13394600,Arrow SerDe Cannot serialize/deserialize complex data types When there are more than 1024 values,srahman,srahman,Major,Closed,Fixed,11/Aug/21 09:28,17/Nov/22 08:48,
Bug,HIVE-25268,13384570,date_format udf returns wrong results for dates prior to 1900 if the local timezone is other than UTC,gupta.nikhil0007,gupta.nikhil0007,Major,Closed,Fixed,18/Jun/21 16:49,08/Sep/23 08:14,
Bug,HIVE-25060,13375279,Hive Compactor doesn´t launch cleaner,FranTCS,FranTCS,Major,Resolved,Abandoned,27/Apr/21 09:24,04/Nov/21 12:03,
Bug,HIVE-24964,13368959,Backport HIVE-22453: Describe table unnecessarily fetches partitions,kecheung,kecheung,Minor,Closed,Fixed,31/Mar/21 21:08,02/Apr/23 19:48,
Bug,HIVE-24848,13362406,CBO failed with NPE,,Rajkumar Singh,Major,Resolved,Duplicate,04/Mar/21 20:09,04/Mar/21 20:12,
Bug,HIVE-23873,13317458,Querying Hive JDBCStorageHandler table fails with NPE when CBO is off,chiran54321,chiran54321,Critical,Closed,Fixed,17/Jul/20 17:06,27/Feb/24 22:24,
Bug,HIVE-23178,13297687,Add Tez Total Order Partitioner,gopalv,roohi,Major,Closed,Fixed,10/Apr/20 19:39,17/Nov/22 08:50,
Bug,HIVE-23033,13292019,MSSQL metastore schema init script doesn't initialize NOTIFICATION_SEQUENCE,dlavati,dlavati,Major,Closed,Fixed,16/Mar/20 17:01,17/Nov/22 08:49,
Bug,HIVE-22963,13289102,HiveParser misinterpretes quotes in parameters of built-in functions or UDFs,ganeshas,ganeshas,Major,Resolved,Duplicate,03/Mar/20 04:21,30/Mar/20 02:26,
Bug,HIVE-22633,13274063,GroupByOperator may throw NullPointerException when setting data skew optimization parameters,zhangbutao,zhangbutao,Major,Resolved,Won't Fix,12/Dec/19 08:14,22/May/24 10:46,
Bug,HIVE-22527,13269989,Hive on Tez : Job of merging small files will be submitted into another queue (default queue),zhangbutao,zhangbutao,Blocker,Closed,Fixed,22/Nov/19 03:20,17/Nov/22 08:50,
