Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-22412,13264779,StatsUtils throw NPE when explain,xiepengjie,xiepengjie,Major,Closed,Fixed,28/Oct/19 09:42,17/Nov/22 08:51,
Bug,HIVE-22196,13256158,Socket timeouts happen when other drivers set DriverManager.loginTimeout,,Indigestion,Major,Resolved,Fixed,11/Sep/19 17:30,16/Feb/21 19:27,
Bug,HIVE-21157,13211425,Slf4j warning again from 2.X.X,ryu_kobayashi,ryu_kobayashi,Minor,Resolved,Won't Fix,24/Jan/19 01:22,25/Jan/19 02:35,
Bug,HIVE-21033,13203987,Forgetting to close operation cuts off any more HiveServer2 output,szehon,szehon,Major,Closed,Fixed,12/Dec/18 13:05,17/Nov/22 08:55,
Bug,HIVE-20345,13177833,Drop database may hang if the tables get deleted from a different call,aihuaxu,aihuaxu,Major,Closed,Fixed,09/Aug/18 01:36,17/Nov/22 08:54,
Bug,HIVE-18742,13139206,Vectorization acid/inputformat check should allow NullRowsInputFormat/OneNullRowInputFormat,jdere,jdere,Major,Closed,Fixed,17/Feb/18 01:30,22/May/18 23:14,
Bug,HIVE-18735,13139147,Create table like loses transactional attribute,lpinter,ekoifman,Major,Closed,Fixed,16/Feb/18 20:45,25/Nov/22 05:13,
Bug,HIVE-18624,13136309,Parsing time is extremely high (~10 min) for queries with complex select expressions,kgyrtkirk,amrk7,Major,Closed,Fixed,05/Feb/18 16:45,21/Oct/22 07:01,
Bug,HIVE-18250,13123584,CBO gets turned off with duplicates in RR error,jcamacho,ashutoshc,Major,Closed,Fixed,07/Dec/17 23:31,27/Feb/24 22:23,
Bug,HIVE-18090,13119145,acid heartbeat fails when metastore is connected via hadoop credential,anishek,anishek,Major,Closed,Fixed,17/Nov/17 08:18,22/May/18 23:13,
Bug,HIVE-17368,13096611,DBTokenStore fails to connect in Kerberos enabled remote HMS environment,vihangk1,vihangk1,Major,Closed,Fixed,22/Aug/17 01:27,22/May/18 23:13,
Bug,HIVE-17126,13088458,Hive Metastore is incompatible with MariaDB 10.x,,eyang,Major,Resolved,Not A Problem,19/Jul/17 16:23,09/Aug/17 20:59,
Bug,HIVE-16769,13075178,Possible hive service startup due to the existing file /tmp/stderr,aihuaxu,aihuaxu,Major,Closed,Fixed,26/May/17 14:10,23/May/18 00:00,
Bug,HIVE-16654,13071326,"Optimize a combination of avg(), sum(), count(distinct) etc",pxiong,pxiong,Major,Closed,Fixed,11/May/17 20:41,30/Jul/20 05:33,
Bug,HIVE-16507,13066009,"Hive Explain User-Level may print out ""Vertex dependency in root stage"" twice",stakiar,stakiar,Major,Closed,Fixed,21/Apr/17 22:10,22/May/18 23:57,
Bug,HIVE-16450,13064074,Some metastore operations are not retried even with desired underlining exceptions,aihuaxu,aihuaxu,Major,Closed,Fixed,14/Apr/17 13:59,22/May/18 23:59,
Bug,HIVE-16385,13061826,StatsNoJobTask could exit early before all partitions have been processed,csun,csun,Major,Closed,Fixed,05/Apr/17 18:06,23/May/18 00:00,
Bug,HIVE-15769,13039247,Support view creation in CBO,pxiong,pxiong,Major,Closed,Fixed,31/Jan/17 17:55,25/Jul/17 20:05,
Bug,HIVE-15766,13039163,DBNotificationlistener leaks JDOPersistenceManager,vgumashta,vgumashta,Major,Resolved,Fixed,31/Jan/17 11:56,19/Sep/17 06:19,
Bug,HIVE-15756,13039001,Update/deletes on ACID table throws ArrayIndexOutOfBoundsException,ekoifman,kavansuresh@gmail.com,Critical,Resolved,Not A Bug,30/Jan/17 21:01,18/Aug/17 11:03,
Bug,HIVE-15752,13038947,MSCK should add output WriteEntity for table in semantic analysis,thejas,thejas,Major,Closed,Fixed,30/Jan/17 17:46,25/Jul/17 20:05,
Bug,HIVE-15517,13030677,NOT (x <=> y) returns NULL if x or y is NULL,pxiong,abedrintsev,Major,Closed,Fixed,27/Dec/16 11:26,26/Jul/17 00:03,
