Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-28515,13591603,Iceberg: Concurrent queries fail during commit with ValidationException,ayushtkn,ayushtkn,Major,Resolved,Fixed,10/Sep/24 06:55,24/Sep/24 02:15,
Bug,HIVE-28487,13590437,Outdated MetastoreSchemaTool class reference in schemaTool.sh,sbernauer,sbernauer,Minor,Resolved,Fixed,29/Aug/24 10:28,24/Sep/24 02:15,
Bug,HIVE-28451,13589308,JDBC: TableName matcher fix in GenericJdbcDatabaseAccessor#addBoundaryToQuery,dkuzmenko,dkuzmenko,Major,Resolved,Fixed,19/Aug/24 13:12,24/Sep/24 02:15,
Bug,HIVE-28439,13588148,Iceberg: Bucket partition transform with DECIMAL can throw NPE,okumin,okumin,Major,Resolved,Fixed,07/Aug/24 13:23,24/Sep/24 02:15,
Bug,HIVE-28426,13587586,Manual import of mysql schema upgrade file fails,pkumarsinha,pkumarsinha,Minor,Resolved,Won't Fix,01/Aug/24 14:15,26/Aug/24 17:32,
Bug,HIVE-28366,13585341,Iceberg: Concurrent Insert and IOW produce incorrect result ,dkuzmenko,dkuzmenko,Major,Resolved,Fixed,10/Jul/24 16:47,17/Sep/24 07:25,
Bug,HIVE-28353,13584003,Iceberg: Reading *Files Metadata table files if the column is of TIMESTAMP type,ayushtkn,ayushtkn,Major,Resolved,Fixed,27/Jun/24 04:10,24/Sep/24 02:15,
Bug,HIVE-28347,13583729,"Make a UDAF 'collect_set' work with complex types, even when map-side aggregation is disabled.",Jeongdae Kim,Jeongdae Kim,Minor,Resolved,Fixed,25/Jun/24 06:09,24/Sep/24 02:15,
Bug,HIVE-28330,13582678,Fix example output of UDFHex,yao,yao,Major,Resolved,Fixed,14/Jun/24 09:41,18/Jun/24 03:19,
Bug,HIVE-28285,13580890,Exception when querying JDBC tables with Hive/DB column types mismatch,zabetak,zabetak,Major,Resolved,Fixed,29/May/24 15:38,23/Sep/24 11:38,
Bug,HIVE-28278,13580291,Iceberg: Stats: IllegalStateException Invalid file: file length 0,dkuzmenko,dkuzmenko,Major,Resolved,Fixed,23/May/24 15:44,24/Sep/24 02:15,
Bug,HIVE-28277,13580192,HIVE does not support update operations for ICEBERG of type location_based_table.,,lisoda,Major,Closed,Won't Fix,23/May/24 03:22,15/Aug/24 08:57,23/May/24 00:00
Bug,HIVE-28266,13579579,Iceberg: select count(*) from data_files metadata tables gives wrong result,difin,difin,Major,Resolved,Fixed,16/May/24 21:16,24/Sep/24 02:15,
Bug,HIVE-28264,13579521,OOM/slow compilation when query contains SELECT clauses with nested expressions,kkasa,zabetak,Major,Resolved,Fixed,16/May/24 13:00,24/Sep/24 02:15,
Bug,HIVE-28239,13577712,Fix bug on HMSHandler#checkLimitNumberOfPartitions,wechar,wechar,Major,Resolved,Fixed,30/Apr/24 10:42,25/Sep/24 04:44,
Bug,HIVE-28207,13576650,NullPointerException is thrown when checking column uniqueness,okumin,okumin,Major,Resolved,Fixed,21/Apr/24 11:58,24/Sep/24 02:15,
Bug,HIVE-28202,13576206,Incorrect projected column size after ORC upgrade to v1.6.7 ,dkuzmenko,dkuzmenko,Critical,Resolved,Fixed,17/Apr/24 11:42,24/Sep/24 02:15,
Bug,HIVE-28190,13575213,Materialized view rebuild lock heart-beating is broken,InvisibleProgrammer,InvisibleProgrammer,Critical,Resolved,Done,09/Apr/24 17:09,24/Sep/24 02:15,
