Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-27675,13550066,Support keystore/truststore types for hive to zookeeper integration points,ngangam,ngangam,Major,Closed,Fixed,08/Sep/23 17:16,29/Mar/24 17:49,
Bug,HIVE-26669,13491820,Hive Metastore become unresponsive,cnauroth,sandygade,Critical,Resolved,Not A Problem,26/Oct/22 13:48,04/Nov/22 12:00,
Bug,HIVE-26018,13432869,The result of UNIQUEJOIN on Hive on Tez is inconsistent with that of MR,seonggon,luguangming,Major,Resolved,Fixed,09/Mar/22 13:15,24/Sep/24 02:15,
Bug,HIVE-25659,13408926,Metastore direct sql queries with IN/(NOT IN) should be split based on max parameters allowed by SQL DB,gupta.nikhil0007,gupta.nikhil0007,Minor,Closed,Fixed,28/Oct/21 14:34,17/Nov/22 08:47,
Bug,HIVE-25600,13405461,Compaction job creates redundant base/delta folder within base/delta folder,gupta.nikhil0007,gupta.nikhil0007,Minor,Closed,Fixed,07/Oct/21 17:05,09/Apr/22 07:03,
Bug,HIVE-25443,13394600,Arrow SerDe Cannot serialize/deserialize complex data types When there are more than 1024 values,srahman,srahman,Major,Closed,Fixed,11/Aug/21 09:28,17/Nov/22 08:48,
Bug,HIVE-25268,13384570,date_format udf returns wrong results for dates prior to 1900 if the local timezone is other than UTC,gupta.nikhil0007,gupta.nikhil0007,Major,Closed,Fixed,18/Jun/21 16:49,08/Sep/23 08:14,
Bug,HIVE-25219,13382795,Backward incompatible timestamp serialization in Avro for certain timezones,zabetak,zabetak,Major,Closed,Fixed,08/Jun/21 21:54,17/Nov/22 08:48,
Bug,HIVE-25104,13377889,Backward incompatible timestamp serialization in Parquet for certain timezones,zabetak,zabetak,Major,Closed,Fixed,11/May/21 15:17,27/Feb/24 22:24,
Bug,HIVE-24944,13367753,"When the default engine of the hiveserver is MR and the tez engine is set by the client, the client TEZ progress log cannot be printed normally",zhangqidong,zhangqidong,Major,Resolved,Fixed,26/Mar/21 02:37,05/Sep/21 00:10,
Bug,HIVE-24807,13360077,Unknown column 'B0.CATALOG_NAME' in 'where clause',zhuxq,zhuxq,Major,Resolved,Fixed,22/Feb/21 11:05,24/Feb/21 09:12,22/Feb/21 00:00
Bug,HIVE-24636,13352237,Memory leak due to stacking UDFClassLoader in Apache Commons LogFactory,zmatyus,dohongdayi,Major,Closed,Fixed,14/Jan/21 11:27,09/Apr/22 07:03,31/Mar/21 00:00
Bug,HIVE-24570,13347870,Hive on spark tmp file should be delete when driver process finished,fsilent,fsilent,Major,Closed,Fixed,25/Dec/20 11:51,17/Nov/22 08:48,
Bug,HIVE-24288,13336167,Files created by CompileProcessor have incorrect permissions,ngangam,ngangam,Major,Closed,Fixed,20/Oct/20 00:59,17/Nov/22 08:48,
Bug,HIVE-24245,13334516,Vectorized PTF with count and distinct over partition producing incorrect results.,abstractdog,chiran54321,Critical,Closed,Fixed,08/Oct/20 21:38,17/Nov/22 08:48,
Bug,HIVE-24218,13330352,Drop table used by a materialized view,,stephbat,Critical,Resolved,Duplicate,01/Oct/20 11:51,06/Jan/21 19:24,01/Oct/20 00:00
Bug,HIVE-24122,13326313,"When CBO is enable, CAST(STR as Bigint)IS NOT NULL result is wrong ",luguangming,luguangming,Major,Closed,Not A Problem,07/Sep/20 13:59,16/Nov/22 13:50,
Bug,HIVE-24101,13325434,Invalid table alias order by columns(>=2) if cbo is false,,fsilent,Major,Resolved,Duplicate,01/Sep/20 03:28,01/Sep/20 06:14,
Bug,HIVE-24099,13325425,"unix_timestamp,intersect,except throws NPE",,fsilent,Major,Resolved,Duplicate,01/Sep/20 02:18,01/Sep/20 06:15,
Bug,HIVE-24094,13325249,"cast type mismatch and use is not null, the results are error if cbo is true",,fsilent,Major,Closed,Fixed,31/Aug/20 01:50,17/Nov/22 08:47,
Bug,HIVE-23873,13317458,Querying Hive JDBCStorageHandler table fails with NPE when CBO is off,chiran54321,chiran54321,Critical,Closed,Fixed,17/Jul/20 17:06,27/Feb/24 22:24,
Bug,HIVE-23802,13315067,“merge files” job was submited to default queue when set hive.merge.tezfiles to true,lalapala,lalapala,Major,Resolved,Duplicate,06/Jul/20 03:27,10/Apr/24 12:50,
Bug,HIVE-23717,13312050,In jdbcUrl add config to create External + purge table by default	,Xiaomeng Zhang,Xiaomeng Zhang,Major,Closed,Fixed,17/Jun/20 20:40,17/Nov/22 08:47,
Bug,HIVE-23550,13307461,GetSplits does not retries queries for CacliteSemanticException,adeshrao,adeshrao,Major,Resolved,Invalid,26/May/20 14:48,03/Jun/20 11:32,
Bug,HIVE-23452,13304356,Exception occur when a SQL query across data stored in two relational DB by JDBCStorageHandler with Tez,,lide,Major,Resolved,Auto Closed,12/May/20 12:53,21/Aug/24 07:40,
Bug,HIVE-23435,13304113,Full outer join result is missing rows ,mustafaiman,ngangam,Major,Closed,Fixed,11/May/20 12:45,17/Nov/22 08:47,
Bug,HIVE-23347,13302172,MSCK REPAIR cannot discover partitions with upper case directory names.,adeshrao,sankarh,Minor,Closed,Fixed,30/Apr/20 17:53,17/Nov/22 08:50,
Bug,HIVE-23339,13302078,SBA does not check permissions for DB location specified in Create or Alter database query,ShubhamChaurasia,rtrivedi12,Critical,Closed,Fixed,30/Apr/20 12:27,17/Nov/22 08:49,
Bug,HIVE-23265,13300029,Duplicate rowsets are returned with Limit and Offset set,amagyar,chiran54321,Critical,Closed,Fixed,21/Apr/20 16:50,17/Nov/22 08:51,
Bug,HIVE-23230,13298975,"""get_splits"" UDF ignores limit clause while creating splits.",adeshrao,adeshrao,Major,Closed,Fixed,17/Apr/20 05:49,17/Nov/22 08:50,
Bug,HIVE-23178,13297687,Add Tez Total Order Partitioner,gopalv,roohi,Major,Closed,Fixed,10/Apr/20 19:39,17/Nov/22 08:50,
Bug,HIVE-23058,13292957,Compaction task reattempt fails with FileAlreadyExistsException,rtrivedi12,rtrivedi12,Major,Closed,Fixed,20/Mar/20 14:45,17/Nov/22 08:50,
Bug,HIVE-23033,13292019,MSSQL metastore schema init script doesn't initialize NOTIFICATION_SEQUENCE,dlavati,dlavati,Major,Closed,Fixed,16/Mar/20 17:01,17/Nov/22 08:49,
Bug,HIVE-22769,13281335,Incorrect query results and query failure during split generation for compressed text files,pgaref,chiran54321,Critical,Closed,Fixed,24/Jan/20 06:00,17/Nov/22 08:50,
Bug,HIVE-22758,13280901,Create database with permission error when doas set to true,chiran54321,chiran54321,Critical,Closed,Duplicate,22/Jan/20 04:41,16/Nov/22 13:50,
Bug,HIVE-22710,13278350,OOM Exception when enable CBO,,luguangming,Major,Resolved,Duplicate,09/Jan/20 03:33,20/Dec/21 13:58,
Bug,HIVE-22693,13277474,Modify fs.defaultFS. The location of the new table does not change. It is still the value of fs.defaultFS before modification,kairen2,kairen2,Major,Resolved,Not A Bug,04/Jan/20 12:13,06/Jan/20 10:21,
Bug,HIVE-22687,13277016,Query hangs indefinitely if LLAP daemon registers after the query is submitted,himanshum,himanshum,Major,Closed,Fixed,31/Dec/19 12:12,17/Nov/22 08:50,
Bug,HIVE-22639,13274176,Bucket file name does not match bucket id after query based major compaction,hamvas.aron,hamvas.aron,Major,Resolved,Won't Do,12/Dec/19 14:56,14/Feb/20 14:54,
Bug,HIVE-22633,13274063,GroupByOperator may throw NullPointerException when setting data skew optimization parameters,zhangbutao,zhangbutao,Major,Resolved,Won't Fix,12/Dec/19 08:14,22/May/24 10:46,
Bug,HIVE-22566,13271775,Drop table involved in materialized view leaves the table in inconsistent state,pjungeb,pjungeb,Minor,Closed,Fixed,02/Dec/19 20:14,27/Feb/24 22:23,
